PeakID (cmd=annotatePeaks.pl P31FUJ_4_776_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
P31FUJ_4_776_R1_peak_1601	chr1	114757520	114758104	+	488	NA	intron (CSDE1, intron 1 of 19)	NA	238	CSDE1								
P31FUJ_4_776_R1_peak_15403	chr19	41859833	41861360	+	487	NA	intron (RPS19, intron 1 of 5)	NA	678	RPS19								
P31FUJ_4_776_R1_peak_3726	chr10	68900365	68902174	+	485	NA	promoter-TSS (DDX50)	NA	-76	DDX50								
P31FUJ_4_776_R1_peak_14830	chr19	13149408	13151692	+	485	NA	promoter-TSS (IER2)	NA	82	IER2								
P31FUJ_4_776_R1_peak_8438	chr13	49997009	49998453	+	485	NA	exon (TRIM13, exon 1 of 2)	NA	724	TRIM13								
P31FUJ_4_776_R1_peak_27006	chr7	80105177	80107388	+	485	NA	Intergenic	NA	-28542	GNAI1								
P31FUJ_4_776_R1_peak_29279	chr9	70418092	70421600	+	484	NA	Intergenic	NA	-5189	KLF9								
P31FUJ_4_776_R1_peak_27549	chr7	135169587	135171173	+	483	NA	promoter-TSS (C7orf49)	NA	446	C7orf49								
P31FUJ_4_776_R1_peak_26086	chr6	136288755	136291311	+	483	NA	promoter-TSS (BCLAF1)	NA	-182	BCLAF1								
P31FUJ_4_776_R1_peak_13305	chr17	59803097	59806197	+	482	NA	intron (VMP1, intron 7 of 11)	NA	-36619	MIR21								
P31FUJ_4_776_R1_peak_25652	chr6	73520159	73521016	+	482	NA	intron (EEF1A1, intron 1 of 7)	NA	445	EEF1A1								
P31FUJ_4_776_R1_peak_19644	chr22	19478550	19479859	+	482	NA	promoter-TSS (UFD1L)	NA	91	UFD1L								
P31FUJ_4_776_R1_peak_11500	chr16	29661462	29666697	+	482	NA	exon (SPN, exon 2 of 2)	NA	860	SPN								
P31FUJ_4_776_R1_peak_11576	chr16	30902373	30905328	+	480	NA	TTS (CTF1)	NA	7243	CTF1								
P31FUJ_4_776_R1_peak_24770	chr6	6720940	6726861	+	480	NA	promoter-TSS (LOC101928047)	NA	-922	LOC101928047								
P31FUJ_4_776_R1_peak_29591	chr9	97982222	97983142	+	480	NA	promoter-TSS (ANP32B)	NA	-525	ANP32B								
P31FUJ_4_776_R1_peak_13770	chr17	81859153	81860534	+	480	NA	intron (P4HB, intron 1 of 10)	NA	825	P4HB								
P31FUJ_4_776_R1_peak_14410	chr19	1591149	1592395	+	477	NA	intron (MBD3, intron 1 of 6)	NA	989	MBD3								
P31FUJ_4_776_R1_peak_15139	chr19	33258664	33259697	+	477	NA	Intergenic	NA	-33330	SLC7A10								
P31FUJ_4_776_R1_peak_20207	chr22	49852623	49853563	+	477	NA	promoter-TSS (ZBED4)	NA	-756	ZBED4								
P31FUJ_4_776_R1_peak_15140	chr19	33259793	33262948	+	477	NA	Intergenic	NA	-35520	SLC7A10								
P31FUJ_4_776_R1_peak_3480	chr10	32346353	32347850	+	477	NA	promoter-TSS (EPC1)	NA	-53	EPC1								
P31FUJ_4_776_R1_peak_13723	chr17	80737064	80738575	+	476	NA	intron (RPTOR, intron 5 of 29)	NA	67813	RP11-28G8.1								
P31FUJ_4_776_R1_peak_16160	chr2	26492375	26493727	+	475	NA	intron (OTOF, intron 9 of 45)	NA	65647	OTOF								
P31FUJ_4_776_R1_peak_8873	chr13	106566611	106568709	+	475	NA	exon (ARGLU1, exon 1 of 4)	NA	504	ARGLU1								
P31FUJ_4_776_R1_peak_5136	chr11	47767597	47768358	+	475	NA	promoter-TSS (FNBP4)	NA	-517	FNBP4								
P31FUJ_4_776_R1_peak_29458	chr9	89309959	89310859	+	474	NA	promoter-TSS (CKS2)	NA	-789	CKS2								
P31FUJ_4_776_R1_peak_17737	chr2	181456085	181460657	+	474	NA	intron (ITGA4, intron 2 of 27)	NA	1479	ITGA4								
P31FUJ_4_776_R1_peak_22326	chr4	24583174	24584561	+	474	NA	intron (DHX15, intron 1 of 13)	NA	694	DHX15								
P31FUJ_4_776_R1_peak_13272	chr17	58332583	58340812	+	474	NA	promoter-TSS (MIR4736)	NA	-505	BZRAP1-AS1								
P31FUJ_4_776_R1_peak_15532	chr19	45716113	45717346	+	474	NA	intron (FBXO46, intron 1 of 1)	NA	14164	FBXO46								
P31FUJ_4_776_R1_peak_15153	chr19	33298302	33301669	+	473	NA	TTS (CEBPA)	NA	2579	CEBPA								
P31FUJ_4_776_R1_peak_6384	chr12	6951078	6955353	+	473	NA	intron (PTPN6, intron 3 of 15)	NA	1944	PTPN6								
P31FUJ_4_776_R1_peak_14826	chr19	13101217	13104508	+	473	NA	promoter-TSS (LYL1)	NA	-944	LYL1								
P31FUJ_4_776_R1_peak_19033	chr20	54207805	54209240	+	472	NA	intron (PFDN4, intron 1 of 3)	NA	559	PFDN4								
P31FUJ_4_776_R1_peak_7182	chr12	62601774	62604655	+	472	NA	promoter-TSS (MIRLET7I)	NA	220	C12orf61								
P31FUJ_4_776_R1_peak_4099	chr10	92689999	92692595	+	472	NA	intron (HHEX, intron 1 of 3)	NA	1373	HHEX								
P31FUJ_4_776_R1_peak_5168	chr11	57667351	57667889	+	472	NA	promoter-TSS (ZDHHC5)	NA	-382	ZDHHC5								
P31FUJ_4_776_R1_peak_3339	chr10	22335127	22346656	+	470	NA	Intergenic	NA	-4554	SPAG6								
P31FUJ_4_776_R1_peak_3972	chr10	79347423	79348996	+	470	NA	intron (PPIF, intron 1 of 5)	NA	743	PPIF								
P31FUJ_4_776_R1_peak_11942	chr16	70288457	70289602	+	469	NA	promoter-TSS (DDX19B)	NA	526	AARS								
P31FUJ_4_776_R1_peak_15786	chr19	54137660	54138699	+	469	NA	intron (CNOT3, intron 1 of 17)	NA	459	CNOT3								
P31FUJ_4_776_R1_peak_15688	chr19	50803454	50805531	+	469	NA	intron (C19orf48, intron 1 of 4)	NA	223	C19orf48								
P31FUJ_4_776_R1_peak_13582	chr17	75403903	75405713	+	469	NA	intron (GRB2, intron 1 of 4)	NA	901	GRB2								
P31FUJ_4_776_R1_peak_27147	chr7	99407566	99409917	+	468	NA	promoter-TSS (BUD31)	NA	-59	PDAP1								
P31FUJ_4_776_R1_peak_20466	chr3	16884192	16884883	+	468	NA	promoter-TSS (PLCL2)	NA	-422	PLCL2								
P31FUJ_4_776_R1_peak_15300	chr19	39434690	39435952	+	467	NA	intron (RPS16, intron 2 of 4)	NA	699	RPS16								
P31FUJ_4_776_R1_peak_15721	chr19	51564988	51565679	+	467	NA	Intergenic	NA	-5945	ZNF175								
P31FUJ_4_776_R1_peak_4224	chr10	101693852	101695141	+	466	NA	exon (FBXW4, exon 1 of 9)	NA	490	FBXW4								
P31FUJ_4_776_R1_peak_8187	chr13	32314944	32316520	+	465	NA	intron (BRCA2, intron 1 of 26)	NA	252	BRCA2								
P31FUJ_4_776_R1_peak_25487	chr6	42782111	42784467	+	464	NA	exon (FLJ38717, exon 1 of 1)	NA	362	FLJ38717								
P31FUJ_4_776_R1_peak_22104	chr3	196622647	196626694	+	464	NA	Intergenic	NA	7968	LINC01063								
P31FUJ_4_776_R1_peak_8151	chr13	31804169	31808748	+	464	NA	Intergenic	NA	-40325	EEF1DP3								
P31FUJ_4_776_R1_peak_11530	chr16	30182824	30187198	+	464	NA	intron (CORO1A, intron 2 of 11)	NA	1601	CORO1A								
P31FUJ_4_776_R1_peak_27524	chr7	131327839	131329092	+	463	NA	promoter-TSS (MKLN1-AS)	NA	629	MKLN1								
P31FUJ_4_776_R1_peak_4715	chr11	6745176	6746962	+	463	NA	Intergenic	NA	22888	OR2AG2								
P31FUJ_4_776_R1_peak_1781	chr1	151156592	151160158	+	463	NA	intron (TNFAIP8L2-SCNM1, intron 1 of 6)	NA	1746	TNFAIP8L2-SCNM1								
P31FUJ_4_776_R1_peak_15518	chr19	45478569	45479199	+	463	NA	promoter-TSS (TRNAU1)	NA	-197	TRNAU1								
P31FUJ_4_776_R1_peak_3054	chr1	235939047	235946459	+	463	NA	Intergenic	NA	-75826	LYST								
P31FUJ_4_776_R1_peak_30249	chr9	137028509	137032050	+	463	NA	exon (FUT7, exon 2 of 2)	NA	-1357	ABCA2								
P31FUJ_4_776_R1_peak_30299	chrX	275215	277173	+	463	NA	promoter-TSS (PLCXD1)	NA	-130	PLCXD1								
P31FUJ_4_776_R1_peak_19118	chr20	60114836	60118762	+	462	NA	Intergenic	NA	-21693	RP5-1043L13.1-2								
P31FUJ_4_776_R1_peak_19650	chr22	19686371	19689938	+	461	NA	Intergenic	NA	-26310	SEPT5								
P31FUJ_4_776_R1_peak_14922	chr19	16083649	16087907	+	461	NA	intron (TPM4, intron 2 of 7)	NA	9453	TPM4								
P31FUJ_4_776_R1_peak_17691	chr2	177262462	177266068	+	461	NA	promoter-TSS (NFE2L2)	NA	-376	NFE2L2								
P31FUJ_4_776_R1_peak_20738	chr3	44439025	44441503	+	461	NA	exon (ZNF445, exon 8 of 8)	NA	12562	LOC100506319								
P31FUJ_4_776_R1_peak_12095	chr16	85571101	85573261	+	461	NA	intron (GSE1, intron 1 of 14)	NA	116801	GINS2								
P31FUJ_4_776_R1_peak_27120	chr7	96320804	96322390	+	460	NA	intron (SLC25A13, intron 1 of 16)	NA	-101856	MIR591								
P31FUJ_4_776_R1_peak_15228	chr19	36214004	36215941	+	460	NA	promoter-TSS (ZNF146)	NA	-220	ZNF565								
P31FUJ_4_776_R1_peak_4721	chr11	8681898	8683804	+	460	NA	intron (RPL27A, intron 1 of 4)	NA	403	RPL27A								
P31FUJ_4_776_R1_peak_14918	chr19	15869477	15872324	+	459	NA	Intergenic	NA	-6000	LOC102724299								
P31FUJ_4_776_R1_peak_15134	chr19	33197356	33201530	+	458	NA	intron (LRP3, intron 2 of 6)	NA	4667	LRP3								
P31FUJ_4_776_R1_peak_6724	chr12	31896902	31898117	+	458	NA	Intergenic	NA	-61940	KIAA1551								
P31FUJ_4_776_R1_peak_15025	chr19	18477785	18479072	+	457	NA	intron (ELL, intron 1 of 11)	NA	-40127	ISYNA1								
P31FUJ_4_776_R1_peak_7974	chr13	21175686	21177551	+	457	NA	promoter-TSS (SKA3)	NA	-16	SKA3								
P31FUJ_4_776_R1_peak_19058	chr20	57450675	57452976	+	457	NA	Intergenic	NA	60427	RBM38								
P31FUJ_4_776_R1_peak_8373	chr13	48094047	48095143	+	457	NA	intron (MED4, intron 1 of 6)	NA	546	MED4								
P31FUJ_4_776_R1_peak_8849	chr13	102772798	102774366	+	456	NA	promoter-TSS (TEX30)	NA	239	TEX30								
P31FUJ_4_776_R1_peak_18983	chr20	50190841	50193483	+	456	NA	exon (CEBPB, exon 1 of 1)	NA	1579	CEBPB								
P31FUJ_4_776_R1_peak_19926	chr22	36480766	36482107	+	456	NA	promoter-TSS (TXN2)	NA	589	TXN2								
P31FUJ_4_776_R1_peak_11786	chr16	57688014	57690004	+	455	NA	TTS (GPR97)	NA	-5792	CCDC135								
P31FUJ_4_776_R1_peak_14727	chr19	10654248	10654783	+	455	NA	promoter-TSS (ILF3-AS1)	NA	254	ILF3								
P31FUJ_4_776_R1_peak_8276	chr13	40980121	40983598	+	454	NA	intron (ELF1, intron 2 of 8)	NA	423	ELF1								
P31FUJ_4_776_R1_peak_2837	chr1	225923387	225924297	+	454	NA	intron (PYCR2, intron 1 of 6)	NA	498	PYCR2								
P31FUJ_4_776_R1_peak_16496	chr2	48145343	48147201	+	454	NA	Intergenic	NA	-107355	LOC102724008								
P31FUJ_4_776_R1_peak_14621	chr19	7270933	7274205	+	454	NA	intron (INSR, intron 1 of 20)	NA	21759	INSR								
P31FUJ_4_776_R1_peak_27575	chr7	139107884	139110732	+	454	NA	exon (ZC3HAV1, exon 1 of 13)	NA	411	ZC3HAV1								
P31FUJ_4_776_R1_peak_15358	chr19	41326099	41327607	+	453	NA	Intergenic	NA	16664	CCDC97								
P31FUJ_4_776_R1_peak_8086	chr13	28530449	28532067	+	453	NA	Intergenic	NA	-36130	FLT1								
P31FUJ_4_776_R1_peak_22583	chr4	67544350	67545514	+	452	NA	intron (CENPC, intron 1 of 18)	NA	-13816	STAP1								
P31FUJ_4_776_R1_peak_14773	chr19	11923954	11926113	+	452	NA	promoter-TSS (ZNF700)	NA	-35	ZNF700								
P31FUJ_4_776_R1_peak_7117	chr12	56686925	56688289	+	452	NA	promoter-TSS (PTGES3)	NA	801	PTGES3								
P31FUJ_4_776_R1_peak_20494	chr3	17983438	17987525	+	452	NA	intron (LOC339862, intron 1 of 4)	NA	22909	LOC339862								
P31FUJ_4_776_R1_peak_10357	chr15	55318513	55319375	+	452	NA	promoter-TSS (PIGB)	NA	199	LOC101928527								
P31FUJ_4_776_R1_peak_14348	chr19	661918	663131	+	452	NA	intron (RNF126, intron 1 of 8)	NA	709	RNF126								
P31FUJ_4_776_R1_peak_6504	chr12	10026844	10030642	+	451	NA	intron (LOC102724020, intron 1 of 2)	NA	1817	LOC102724020								
P31FUJ_4_776_R1_peak_15342	chr19	40822053	40824506	+	451	NA	Intergenic	NA	23850	EGLN2								
P31FUJ_4_776_R1_peak_7250	chr12	68363196	68365334	+	450	NA	Intergenic	NA	-15618	LOC100507195								
P31FUJ_4_776_R1_peak_15176	chr19	35153960	35155835	+	450	NA	promoter-TSS (FXYD5)	NA	169	FXYD5								
P31FUJ_4_776_R1_peak_526	chr1	27884131	27887146	+	449	NA	intron (THEMIS2, intron 3 of 3)	NA	13095	THEMIS2								
P31FUJ_4_776_R1_peak_3579	chr10	46077505	46082075	+	449	NA	Intergenic	NA	-29705	AGAP7								
P31FUJ_4_776_R1_peak_624	chr1	32816053	32817393	+	448	NA	promoter-TSS (S100PBP)	NA	1309	YARS								
P31FUJ_4_776_R1_peak_16305	chr2	37821721	37824863	+	447	NA	Intergenic	NA	6419	LINC00211								
P31FUJ_4_776_R1_peak_25524	chr6	43770241	43773475	+	446	NA	promoter-TSS (VEGFA)	NA	1649	VEGFA								
P31FUJ_4_776_R1_peak_29413	chr9	83978734	83981783	+	445	NA	promoter-TSS (RMI1)	NA	-42	HNRNPK								
P31FUJ_4_776_R1_peak_12664	chr17	29140388	29142742	+	444	NA	intron (MYO18A, intron 2 of 40)	NA	38824	MYO18A								
P31FUJ_4_776_R1_peak_29913	chr9	124390404	124394172	+	444	NA	intron (PSMB7, intron 5 of 7)	NA	23185	PSMB7								
P31FUJ_4_776_R1_peak_14493	chr19	3500119	3501018	+	444	NA	promoter-TSS (DOHH)	NA	372	DOHH								
P31FUJ_4_776_R1_peak_15552	chr19	46860315	46862526	+	444	NA	Intergenic	NA	-10474	AP2S1								
P31FUJ_4_776_R1_peak_27230	chr7	101717283	101719428	+	444	NA	Intergenic	NA	-94072	MYL10								
P31FUJ_4_776_R1_peak_23200	chr5	10249045	10251529	+	444	NA	promoter-TSS (FAM173B)	NA	117	CCT5								
P31FUJ_4_776_R1_peak_20944	chr3	50337626	50340953	+	444	NA	TTS (RASSF1-AS1)	NA	1647	RASSF1								
P31FUJ_4_776_R1_peak_3232	chr10	7487423	7491275	+	444	NA	Intergenic	NA	-77863	SFMBT2								
P31FUJ_4_776_R1_peak_15398	chr19	41782751	41785715	+	443	NA	Intergenic	NA	-12357	CEACAM3								
P31FUJ_4_776_R1_peak_11475	chr16	28494253	28496446	+	442	NA	exon (APOBR, exon 2 of 4)	NA	700	APOBR								
P31FUJ_4_776_R1_peak_6491	chr12	9877722	9888094	+	442	NA	intron (KLRF2, intron 1 of 5)	NA	1419	KLRF2								
P31FUJ_4_776_R1_peak_10688	chr15	75200870	75204785	+	441	NA	intron (C15orf39, intron 2 of 3)	NA	947	C15orf39								
P31FUJ_4_776_R1_peak_5923	chr11	114079684	114084814	+	441	NA	intron (ZBTB16, intron 2 of 6)	NA	22682	ZBTB16								
P31FUJ_4_776_R1_peak_18589	chr20	23636908	23638030	+	441	NA	intron (CST3, intron 1 of 3)	NA	579	CST3								
P31FUJ_4_776_R1_peak_6524	chr12	11649938	11653715	+	441	NA	intron (ETV6, intron 1 of 7)	NA	1972	ETV6								
P31FUJ_4_776_R1_peak_6464	chr12	9648259	9650869	+	441	NA	intron (LOC374443, intron 1 of 3)	NA	-9003	LOC101928054								
P31FUJ_4_776_R1_peak_1369	chr1	92832133	92833326	+	441	NA	TTS (FAM69A)	NA	692	RPL5								
P31FUJ_4_776_R1_peak_5299	chr11	62880250	62883335	+	441	NA	promoter-TSS (SLC3A2)	NA	25780	SLC3A2								
P31FUJ_4_776_R1_peak_28643	chr8	123395178	123396758	+	440	NA	intron (ATAD2, intron 1 of 27)	NA	497	ATAD2								
P31FUJ_4_776_R1_peak_14139	chr18	49491440	49492530	+	440	NA	promoter-TSS (RPL17-C18orf32)	NA	-256	SNORD58B								
P31FUJ_4_776_R1_peak_14801	chr19	12733650	12734708	+	440	NA	intron (C19orf43, intron 1 of 2)	NA	536	C19orf43								
P31FUJ_4_776_R1_peak_8875	chr13	108217386	108219409	+	440	NA	promoter-TSS (LIG4)	NA	-18	ABHD13								
P31FUJ_4_776_R1_peak_20056	chr22	41091666	41092278	+	440	NA	promoter-TSS (MIR1281)	NA	-330	EP300								
P31FUJ_4_776_R1_peak_30317	chrX	1535806	1537238	+	440	NA	intron (P2RY8, intron 1 of 1)	NA	-55071	AKAP17A								
P31FUJ_4_776_R1_peak_8349	chr13	46313187	46314433	+	439	NA	Intergenic	NA	-15966	LINC00563								
P31FUJ_4_776_R1_peak_15682	chr19	50375953	50376872	+	437	NA	promoter-TSS (NR1H2)	NA	-11	NR1H2								
P31FUJ_4_776_R1_peak_9003	chr14	20427169	20429415	+	437	NA	TTS (KLHL33)	NA	7350	KLHL33								
P31FUJ_4_776_R1_peak_10661	chr15	75023573	75024692	+	437	NA	intron (PPCDC, intron 1 of 4)	NA	540	PPCDC								
P31FUJ_4_776_R1_peak_6327	chr12	6383319	6385382	+	436	NA	exon (LTBR, exon 1 of 7)	NA	277	LTBR								
P31FUJ_4_776_R1_peak_5471	chr11	67266712	67268387	+	436	NA	intron (ADRBK1, intron 1 of 20)	NA	1115	ADRBK1								
P31FUJ_4_776_R1_peak_16009	chr2	9407337	9411010	+	435	NA	intron (ITGB1BP1, intron 4 of 5)	NA	14003	ITGB1BP1								
P31FUJ_4_776_R1_peak_14933	chr19	16185345	16186334	+	435	NA	intron (FAM32A, intron 2 of 3)	NA	415	FAM32A								
P31FUJ_4_776_R1_peak_15509	chr19	45405572	45407266	+	434	NA	promoter-TSS (PPP1R13L)	NA	61	PPP1R13L								
P31FUJ_4_776_R1_peak_27332	chr7	107742671	107744941	+	433	NA	exon (CBLL1, exon 1 of 6)	NA	109	CBLL1								
P31FUJ_4_776_R1_peak_30605	chrX	66010734	66018569	+	432	NA	Intergenic	NA	-4219	MIR223								
P31FUJ_4_776_R1_peak_6390	chr12	6970867	6972121	+	432	NA	promoter-TSS (PHB2)	NA	-671	PHB2								
P31FUJ_4_776_R1_peak_4817	chr11	12223824	12224737	+	432	NA	intron (MICAL2, intron 10 of 19)	NA	60597	MIR6124								
P31FUJ_4_776_R1_peak_14764	chr19	11597389	11598464	+	432	NA	intron (ZNF627, intron 1 of 3)	NA	506	ZNF627								
P31FUJ_4_776_R1_peak_3094	chr1	244223830	244225539	+	432	NA	Intergenic	NA	-127951	C1orf100								
P31FUJ_4_776_R1_peak_10205	chr15	43792286	43793484	+	432	NA	TTS (MIR1282)	NA	508	SERF2								
P31FUJ_4_776_R1_peak_14796	chr19	12681081	12681981	+	432	NA	promoter-TSS (DHPS)	NA	356	DHPS								
P31FUJ_4_776_R1_peak_5613	chr11	73376472	73377311	+	432	NA	intron (RELT, intron 1 of 10)	NA	-15811	RELT								
P31FUJ_4_776_R1_peak_10143	chr15	41283937	41285281	+	432	NA	intron (OIP5-AS1, intron 1 of 3)	NA	606	OIP5-AS1								
P31FUJ_4_776_R1_peak_7853	chr12	123457788	123459258	+	432	NA	intron (SNRNP35, intron 1 of 1)	NA	-6434	SNRNP35								
P31FUJ_4_776_R1_peak_390	chr1	23979077	23980365	+	432	NA	promoter-TSS (SRSF10)	NA	725	SRSF10								
P31FUJ_4_776_R1_peak_24223	chr5	143403916	143406094	+	432	NA	promoter-TSS (NR3C1)	NA	-1316	NR3C1								
P31FUJ_4_776_R1_peak_24621	chr5	179623910	179624872	+	432	NA	promoter-TSS (HNRNPH1)	NA	-681	HNRNPH1								
P31FUJ_4_776_R1_peak_19528	chr21	44351953	44354954	+	431	NA	promoter-TSS (TRPM2)	NA	-118	TRPM2								
P31FUJ_4_776_R1_peak_4374	chr10	114023830	114026942	+	430	NA	Intergenic	NA	-18661	ADRB1								
P31FUJ_4_776_R1_peak_8271	chr13	40960544	40962595	+	430	NA	intron (ELF1, intron 2 of 8)	NA	20713	ELF1								
P31FUJ_4_776_R1_peak_4206	chr10	100373424	100375291	+	430	NA	intron (LINC00263, intron 1 of 2)	NA	781	LINC00263								
P31FUJ_4_776_R1_peak_26069	chr6	135279587	135282854	+	430	NA	Intergenic	NA	42000	MIR548A2								
P31FUJ_4_776_R1_peak_24743	chr6	5723388	5724940	+	430	NA	intron (FARS2, intron 6 of 6)	NA	-28892	RP1-256G22.2								
P31FUJ_4_776_R1_peak_19894	chr22	35648379	35649545	+	430	NA	intron (APOL6, intron 1 of 2)	NA	585	APOL6								
P31FUJ_4_776_R1_peak_9432	chr14	64503833	64505451	+	429	NA	promoter-TSS (ZBTB1)	NA	-135	ZBTB1								
P31FUJ_4_776_R1_peak_26665	chr7	40599161	40601369	+	428	NA	intron (SUGCT, intron 11 of 12)	NA	-53194	LOC101928716								
P31FUJ_4_776_R1_peak_25834	chr6	107956004	107958235	+	428	NA	intron (SEC63, intron 1 of 20)	NA	1159	SEC63								
P31FUJ_4_776_R1_peak_8415	chr13	49214126	49215720	+	428	NA	Intergenic	NA	-5415	MLNR								
P31FUJ_4_776_R1_peak_30013	chr9	128245150	128246725	+	428	NA	promoter-TSS (MIR3154)	NA	-907	MIR3154								
P31FUJ_4_776_R1_peak_17513	chr2	158111543	158115735	+	427	NA	intron (UPP2, intron 2 of 7)	NA	-53011	CCDC148-AS1								
P31FUJ_4_776_R1_peak_15936	chr2	677073	678274	+	427	NA	promoter-TSS (TMEM18)	NA	-234	TMEM18								
P31FUJ_4_776_R1_peak_8921	chr13	109700476	109701915	+	426	NA	Intergenic	NA	-27079	LINC00676								
P31FUJ_4_776_R1_peak_3801	chr10	71769131	71776708	+	426	NA	intron (C10orf54, intron 1 of 6)	NA	661	C10orf54								
P31FUJ_4_776_R1_peak_30201	chr9	134396269	134398224	+	426	NA	intron (RXRA, intron 1 of 9)	NA	-9336	RXRA								
P31FUJ_4_776_R1_peak_17535	chr2	159614004	159617078	+	426	NA	promoter-TSS (BAZ2B)	NA	55	BAZ2B								
P31FUJ_4_776_R1_peak_26642	chr7	39948446	39952511	+	426	NA	exon (CDK13, exon 1 of 14)	NA	118	CDK13								
P31FUJ_4_776_R1_peak_10888	chr15	90034556	90035182	+	426	NA	intron (ZNF710, intron 1 of 3)	NA	28114	MIR3174								
P31FUJ_4_776_R1_peak_14652	chr19	7942806	7943668	+	426	NA	intron (TIMM44, intron 1 of 12)	NA	586	TIMM44								
P31FUJ_4_776_R1_peak_12534	chr17	16439046	16441090	+	426	NA	promoter-TSS (SNORD49A)	NA	32	SNORD49A								
P31FUJ_4_776_R1_peak_25915	chr6	110981265	110982008	+	426	NA	promoter-TSS (RPF2)	NA	-381	RPF2								
P31FUJ_4_776_R1_peak_6248	chr12	1690971	1692500	+	426	NA	intron (ADIPOR2, intron 1 of 7)	NA	676	ADIPOR2								
P31FUJ_4_776_R1_peak_15353	chr19	41262537	41263796	+	426	NA	intron (HNRNPUL1, intron 1 of 14)	NA	647	HNRNPUL1								
P31FUJ_4_776_R1_peak_27607	chr7	140164370	140166892	+	426	NA	intron (KDM7A, intron 1 of 19)	NA	11310	KDM7A								
P31FUJ_4_776_R1_peak_23157	chr5	398474	402262	+	426	NA	intron (AHRR, intron 4 of 10)	NA	42775	C5orf55								
P31FUJ_4_776_R1_peak_15218	chr19	35952423	35954013	+	425	NA	Intergenic	NA	16098	LRFN3								
P31FUJ_4_776_R1_peak_27301	chr7	106069728	106073868	+	425	NA	Intergenic	NA	40816	SYPL1								
P31FUJ_4_776_R1_peak_18763	chr20	37178261	37180409	+	424	NA	promoter-TSS (RPN2)	NA	94	RPN2								
P31FUJ_4_776_R1_peak_17479	chr2	151288391	151290485	+	424	NA	promoter-TSS (NMI)	NA	-361	NMI								
P31FUJ_4_776_R1_peak_6595	chr12	14947840	14949959	+	424	NA	intron (ARHGDIB, intron 3 of 5)	NA	-10370	ERP27								
P31FUJ_4_776_R1_peak_15158	chr19	33795102	33797691	+	424	NA	promoter-TSS (KCTD15)	NA	-450	KCTD15								
P31FUJ_4_776_R1_peak_7794	chr12	121799902	121800648	+	424	NA	intron (LINC01089, intron 4 of 6)	NA	3209	LINC01089								
P31FUJ_4_776_R1_peak_23977	chr5	131635600	131636878	+	423	NA	Intergenic	NA	-1003	RAPGEF6								
P31FUJ_4_776_R1_peak_8974	chr13	113758597	113759693	+	422	NA	promoter-TSS (TMEM255B)	NA	-120	TMEM255B								
P31FUJ_4_776_R1_peak_15265	chr19	38647720	38649237	+	422	NA	intron (ACTN4, intron 1 of 20)	NA	862	ACTN4								
P31FUJ_4_776_R1_peak_17369	chr2	135984239	135986425	+	422	NA	exon (AC093391.2, exon 1 of 4)	NA	156	AC093391.2								
P31FUJ_4_776_R1_peak_10493	chr15	65295502	65296147	+	422	NA	promoter-TSS (RNU5A-1)	NA	-227	RNU5A-1								
P31FUJ_4_776_R1_peak_28697	chr8	127735418	127739740	+	421	NA	intron (MYC, intron 1 of 2)	NA	1510	MYC								
P31FUJ_4_776_R1_peak_10451	chr15	63833124	63834577	+	421	NA	promoter-TSS (HERC1)	NA	95	HERC1								
P31FUJ_4_776_R1_peak_21445	chr3	127598356	127599427	+	420	NA	intron (MCM2, intron 1 of 15)	NA	534	MCM2								
P31FUJ_4_776_R1_peak_37	chr1	1745818	1746539	+	420	NA	promoter-TSS (SLC35E2)	NA	-179	SLC35E2								
P31FUJ_4_776_R1_peak_5182	chr11	58579130	58580326	+	420	NA	intron (ZFP91, intron 1 of 10)	NA	614	ZFP91-CNTF								
P31FUJ_4_776_R1_peak_12348	chr17	4946568	4948905	+	420	NA	intron (PFN1, intron 1 of 2)	NA	1350	PFN1								
P31FUJ_4_776_R1_peak_10763	chr15	78872898	78874846	+	420	NA	intron (MORF4L1, intron 1 of 11)	NA	1091	MORF4L1								
P31FUJ_4_776_R1_peak_15776	chr19	53823504	53824998	+	420	NA	exon (NLRP12, exon 1 of 10)	NA	152	NLRP12								
P31FUJ_4_776_R1_peak_5313	chr11	63974520	63975744	+	420	NA	intron (COX8A, intron 1 of 1)	NA	525	COX8A								
P31FUJ_4_776_R1_peak_656	chr1	35191499	35193235	+	420	NA	exon (SFPQ, exon 1 of 13)	NA	790	SFPQ								
P31FUJ_4_776_R1_peak_17951	chr2	206085669	206087642	+	420	NA	promoter-TSS (INO80D)	NA	-473	INO80D								
P31FUJ_4_776_R1_peak_3235	chr10	7504817	7508061	+	420	NA	Intergenic	NA	94133	LOC101928171								
P31FUJ_4_776_R1_peak_23667	chr5	84293079	84294463	+	420	NA	intron (EDIL3, intron 1 of 9)	NA	91096	EDIL3								
P31FUJ_4_776_R1_peak_8393	chr13	48531826	48534261	+	420	NA	promoter-TSS (RCBTB2)	NA	213	RCBTB2								
