PeakID (cmd=annotatePeaks.pl UT7_3_187_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
UT7_3_187_R1_peak_29508	chr5	77775065	77776345	+	1013	NA	intron (TBCA, intron 1 of 3)	NA	656	TBCA								
UT7_3_187_R1_peak_34514	chr7	139358936	139361423	+	1013	NA	exon (LUC7L2, exon 1 of 10)	NA	19047	C7orf55-LUC7L2								
UT7_3_187_R1_peak_31597	chr6	32967916	32971894	+	1006	NA	promoter-TSS (BRD2)	NA	1245	BRD2								
UT7_3_187_R1_peak_1302	chr1	43706682	43708882	+	1006	NA	promoter-TSS (KDM4A-AS1)	NA	249	ST3GAL3								
UT7_3_187_R1_peak_23483	chr20	49915126	49915857	+	1004	NA	promoter-TSS (SPATA2)	NA	-153	SPATA2								
UT7_3_187_R1_peak_15795	chr17	45160452	45161602	+	1004	NA	promoter-TSS (HEXIM2)	NA	-804	HEXIM2								
UT7_3_187_R1_peak_18590	chr19	33794519	33797668	+	1003	NA	promoter-TSS (KCTD15)	NA	-753	KCTD15								
UT7_3_187_R1_peak_20710	chr2	74198556	74199834	+	1003	NA	intron (MTHFD2, intron 1 of 6)	NA	632	MTHFD2								
UT7_3_187_R1_peak_6966	chr11	71927847	71928930	+	1000	NA	promoter-TSS (RNF121)	NA	59	LOC100133315								
UT7_3_187_R1_peak_6774	chr11	65960884	65962346	+	998	NA	promoter-TSS (SART1)	NA	-74	SART1								
UT7_3_187_R1_peak_9858	chr13	29594212	29595701	+	996	NA	intron (SLC7A1, intron 1 of 12)	NA	-8164	SLC7A1								
UT7_3_187_R1_peak_6747	chr11	65711927	65712565	+	996	NA	exon (KAT5, exon 1 of 12)	NA	244	KAT5								
UT7_3_187_R1_peak_24317	chr21	43864241	43866215	+	996	NA	promoter-TSS (AGPAT3)	NA	-52661	LOC284837								
UT7_3_187_R1_peak_6343	chr11	47425520	47426555	+	996	NA	intron (PSMC3, intron 1 of 11)	NA	436	PSMC3								
UT7_3_187_R1_peak_23094	chr20	34824638	34826024	+	996	NA	intron (NCOA6, intron 1 of 14)	NA	299	NCOA6								
UT7_3_187_R1_peak_4271	chr10	931895	932966	+	995	NA	promoter-TSS (LOC101927762)	NA	-395	LOC101927762								
UT7_3_187_R1_peak_22602	chr20	2469858	2470839	+	992	NA	intron (SNRPB, intron 1 of 6)	NA	505	SNRPB								
UT7_3_187_R1_peak_12160	chr15	58932523	58933761	+	992	NA	promoter-TSS (SLTM)	NA	511	SLTM								
UT7_3_187_R1_peak_36317	chr9	3507772	3509411	+	991	NA	intron (RFX3, intron 1 of 17)	NA	16056	RFX3								
UT7_3_187_R1_peak_28529	chr4	102825442	102827921	+	990	NA	promoter-TSS (UBE2D3)	NA	42212	UBE2D3								
UT7_3_187_R1_peak_10506	chr14	24194983	24196722	+	989	NA	promoter-TSS (TM9SF1)	NA	-116	TM9SF1								
UT7_3_187_R1_peak_13954	chr16	30956891	30958820	+	987	NA	promoter-TSS (SETD1A)	NA	-589	SETD1A								
UT7_3_187_R1_peak_22349	chr2	231707105	231708199	+	987	NA	promoter-TSS (PTMA)	NA	-873	PTMA								
UT7_3_187_R1_peak_21101	chr2	112275578	112276690	+	987	NA	intron (ZC3H6, intron 1 of 12)	NA	-22035	ZC3H8								
UT7_3_187_R1_peak_12037	chr15	50353833	50356554	+	987	NA	promoter-TSS (GABPB1)	NA	-314	FLJ10038								
UT7_3_187_R1_peak_17788	chr19	9139938	9141050	+	986	NA	exon (ZNF317, exon 1 of 7)	NA	114	ZNF317								
UT7_3_187_R1_peak_18213	chr19	16076371	16078862	+	985	NA	intron (TPM4, intron 1 of 7)	NA	1291	TPM4								
UT7_3_187_R1_peak_6687	chr11	65133969	65135579	+	985	NA	promoter-TSS (SYVN1)	NA	-279	SYVN1								
UT7_3_187_R1_peak_35946	chr8	129581467	129582131	+	979	NA	Intergenic	NA	-97711	MIR3686								
UT7_3_187_R1_peak_26236	chr3	49092951	49094703	+	979	NA	promoter-TSS (QRICH1)	NA	-195	QRICH1								
UT7_3_187_R1_peak_16957	chr18	9913365	9915921	+	978	NA	intron (VAPA, intron 1 of 5)	NA	685	VAPA								
UT7_3_187_R1_peak_30992	chr6	18263639	18265192	+	977	NA	exon (DEK, exon 1 of 11)	NA	153	DEK								
UT7_3_187_R1_peak_24137	chr21	36320128	36321407	+	972	NA	intron (MORC3, intron 1 of 16)	NA	-9141	MORC3								
UT7_3_187_R1_peak_30545	chr5	179698920	179700064	+	971	NA	intron (CANX, intron 1 of 14)	NA	563	CANX								
UT7_3_187_R1_peak_27491	chr3	185936617	185938041	+	968	NA	promoter-TSS (TRA2B)	NA	-729	TRA2B								
UT7_3_187_R1_peak_2612	chr1	154220875	154222241	+	968	NA	promoter-TSS (C1orf43)	NA	205	UBAP2L								
UT7_3_187_R1_peak_1372	chr1	45583877	45585194	+	968	NA	intron (NASP, intron 1 of 14)	NA	547	NASP								
UT7_3_187_R1_peak_27919	chr4	15654368	15656458	+	968	NA	promoter-TSS (FBXL5)	NA	924	FBXL5								
UT7_3_187_R1_peak_24236	chr21	39348057	39349212	+	966	NA	intron (HMGN1, intron 1 of 5)	NA	487	HMGN1								
UT7_3_187_R1_peak_1484	chr1	52404571	52405617	+	962	NA	promoter-TSS (ORC1)	NA	547	PRPF38A								
UT7_3_187_R1_peak_450	chr1	19250688	19252647	+	962	NA	promoter-TSS (MRTO4)	NA	76	MRTO4								
UT7_3_187_R1_peak_19425	chr19	49875460	49876699	+	961	NA	exon (AKT1S1, exon 1 of 5)	NA	1308	AKT1S1								
UT7_3_187_R1_peak_29653	chr5	98927851	98930136	+	961	NA	promoter-TSS (LOC100289230)	NA	-141	LOC100289230								
UT7_3_187_R1_peak_24149	chr21	37072207	37073181	+	960	NA	promoter-TSS (TTC3)	NA	464	PIGP								
UT7_3_187_R1_peak_25070	chr22	37802066	37805743	+	960	NA	Intergenic	NA	-1203	H1F0								
UT7_3_187_R1_peak_31536	chr6	31734108	31739702	+	960	NA	promoter-TSS (CLIC1)	NA	-360	CLIC1								
UT7_3_187_R1_peak_1315	chr1	43946610	43947649	+	959	NA	promoter-TSS (LOC101929609)	NA	323	IPO13								
UT7_3_187_R1_peak_8691	chr12	51172159	51173589	+	957	NA	exon (TFCP2, exon 1 of 15)	NA	269	TFCP2								
UT7_3_187_R1_peak_9716	chr12	131710739	131711820	+	955	NA	exon (SFSWAP, exon 1 of 18)	NA	189	SFSWAP								
UT7_3_187_R1_peak_22511	chr2	241314396	241315747	+	954	NA	promoter-TSS (SEPT2)	NA	221	HDLBP								
UT7_3_187_R1_peak_3541	chr1	204516335	204517286	+	954	NA	intron (MDM4, intron 1 of 7)	NA	431	MDM4								
UT7_3_187_R1_peak_15400	chr17	32349643	32350833	+	952	NA	promoter-TSS (C17orf75)	NA	69	MIR632								
UT7_3_187_R1_peak_17849	chr19	10543883	10545067	+	951	NA	intron (ATG4D, intron 1 of 8)	NA	581	ATG4D								
UT7_3_187_R1_peak_14700	chr16	89488266	89490642	+	951	NA	intron (ANKRD11, intron 1 of 13)	NA	15622	LOC101927863								
UT7_3_187_R1_peak_1601	chr1	55214004	55216307	+	947	NA	promoter-TSS (USP24)	NA	-253	LOC100507634								
UT7_3_187_R1_peak_24337	chr21	44817763	44819087	+	946	NA	promoter-TSS (SUMO3)	NA	-296	SUMO3								
UT7_3_187_R1_peak_33327	chr7	2353976	2355971	+	946	NA	exon (EIF3B, exon 1 of 19)	NA	134	EIF3B								
UT7_3_187_R1_peak_34155	chr7	100428403	100431236	+	945	NA	promoter-TSS (ZCWPW1)	NA	-405	ZCWPW1								
UT7_3_187_R1_peak_29429	chr5	69368149	69370143	+	942	NA	promoter-TSS (RAD17)	NA	436	TAF9								
UT7_3_187_R1_peak_19039	chr19	43754118	43755628	+	941	NA	exon (SMG9, exon 1 of 14)	NA	117	SMG9								
UT7_3_187_R1_peak_23995	chr21	31730594	31732129	+	940	NA	intron (SCAF4, intron 1 of 19)	NA	757	SCAF4								
UT7_3_187_R1_peak_13661	chr16	21952493	21954336	+	939	NA	exon (UQCRC2, exon 1 of 14)	NA	126	UQCRC2								
UT7_3_187_R1_peak_35404	chr8	67061365	67062699	+	937	NA	promoter-TSS (CSPP1)	NA	295	COPS5								
UT7_3_187_R1_peak_4713	chr10	45000497	45001787	+	937	NA	promoter-TSS (C10orf25)	NA	-120	C10orf25								
UT7_3_187_R1_peak_26329	chr3	50321425	50321828	+	937	NA	promoter-TSS (HYAL2)	NA	1224	HYAL2								
UT7_3_187_R1_peak_3053	chr1	169893117	169894318	+	937	NA	promoter-TSS (SCYL3)	NA	242	SCYL3								
UT7_3_187_R1_peak_21189	chr2	121530192	121530974	+	934	NA	promoter-TSS (RNU4ATAC)	NA	-297	RNU4ATAC								
UT7_3_187_R1_peak_36916	chr9	83978862	83980699	+	932	NA	promoter-TSS (RMI1)	NA	466	HNRNPK								
UT7_3_187_R1_peak_27505	chr3	186782701	186784994	+	931	NA	promoter-TSS (SNORD2)	NA	275	EIF4A2								
UT7_3_187_R1_peak_1717	chr1	65420559	65422894	+	930	NA	intron (LEPROT, intron 2 of 4)	NA	1278	LEPROT								
UT7_3_187_R1_peak_8924	chr12	56686971	56688210	+	929	NA	promoter-TSS (PTGES3)	NA	-322	PTGES3								
UT7_3_187_R1_peak_18839	chr19	39390633	39391164	+	927	NA	promoter-TSS (MED29)	NA	297	PAF1								
UT7_3_187_R1_peak_33603	chr7	30594121	30596461	+	926	NA	promoter-TSS (GARS)	NA	726	GARS								
UT7_3_187_R1_peak_16822	chr18	811291	813344	+	926	NA	promoter-TSS (YES1)	NA	-46	YES1								
UT7_3_187_R1_peak_10389	chr14	21268785	21269540	+	926	NA	intron (HNRNPC, intron 1 of 7)	NA	317	HNRNPC								
UT7_3_187_R1_peak_25793	chr3	14947020	14948465	+	926	NA	promoter-TSS (FGD5-AS1)	NA	-237	FGD5-AS1								
UT7_3_187_R1_peak_24293	chr21	42893283	42894251	+	925	NA	intron (NDUFV3, intron 1 of 3)	NA	499	NDUFV3								
UT7_3_187_R1_peak_3840	chr1	228082647	228084193	+	925	NA	intron (ARF1, intron 1 of 4)	NA	270	ARF1								
UT7_3_187_R1_peak_2911	chr1	161153599	161154626	+	924	NA	exon (UFC1, exon 1 of 5)	NA	368	UFC1								
UT7_3_187_R1_peak_6483	chr11	61429366	61430599	+	924	NA	promoter-TSS (CPSF7)	NA	-33	CPSF7								
UT7_3_187_R1_peak_17963	chr19	11814242	11815299	+	924	NA	intron (ZNF440, intron 1 of 2)	NA	483	ZNF440								
UT7_3_187_R1_peak_26920	chr3	129182879	129183953	+	924	NA	intron (CNBP, intron 1 of 4)	NA	551	CNBP								
UT7_3_187_R1_peak_27756	chr4	1711324	1712730	+	924	NA	intron (SLBP, intron 1 of 7)	NA	276	SLBP								
UT7_3_187_R1_peak_16690	chr17	81890334	81892192	+	922	NA	promoter-TSS (ANAPC11)	NA	323	ALYREF								
UT7_3_187_R1_peak_17894	chr19	10960894	10961903	+	919	NA	promoter-TSS (SMARCA4)	NA	399	SMARCA4								
UT7_3_187_R1_peak_20389	chr2	55616501	55617705	+	919	NA	intron (SMEK2, intron 1 of 14)	NA	622	SMEK2								
UT7_3_187_R1_peak_3472	chr1	202158535	202164038	+	917	NA	promoter-TSS (PTPN7)	NA	-363	PTPN7								
UT7_3_187_R1_peak_12447	chr15	68816646	68822436	+	917	NA	intron (ANP32A, intron 1 of 6)	NA	1381	ANP32A								
UT7_3_187_R1_peak_34138	chr7	100100135	100101424	+	917	NA	promoter-TSS (MCM7)	NA	-236	MCM7								
UT7_3_187_R1_peak_252	chr1	11012269	11013546	+	917	NA	intron (TARDBP, intron 1 of 5)	NA	285	TARDBP								
UT7_3_187_R1_peak_1686	chr1	65066230	65069317	+	914	NA	promoter-TSS (RP11-182I10.3)	NA	-910	RP11-182I10.3								
UT7_3_187_R1_peak_36560	chr9	19161103	19161793	+	911	NA	Intergenic	NA	-33842	PLIN2								
UT7_3_187_R1_peak_8623	chr12	50504949	50506107	+	910	NA	intron (DIP2B, intron 1 of 37)	NA	503	DIP2B								
UT7_3_187_R1_peak_29148	chr5	32173273	32175226	+	908	NA	promoter-TSS (GOLPH3)	NA	70	GOLPH3								
UT7_3_187_R1_peak_9757	chr12	132827936	132829173	+	908	NA	promoter-TSS (GOLGA3)	NA	307	GOLGA3								
UT7_3_187_R1_peak_32387	chr6	107956498	107958226	+	907	NA	intron (SEC63, intron 1 of 20)	NA	916	SEC63								
UT7_3_187_R1_peak_17796	chr19	9583650	9584920	+	907	NA	promoter-TSS (ZNF121)	NA	46	ZNF121								
UT7_3_187_R1_peak_1385	chr1	46131978	46133027	+	907	NA	promoter-TSS (RP4-533D7.5)	NA	206	PIK3R3								
UT7_3_187_R1_peak_8791	chr12	53380148	53380705	+	905	NA	promoter-TSS (SP1)	NA	231	SP1								
UT7_3_187_R1_peak_5005	chr10	72318944	72323530	+	905	NA	Intergenic	NA	33912	DNAJB12								
UT7_3_187_R1_peak_29161	chr5	32585472	32586648	+	902	NA	intron (SUB1, intron 1 of 4)	NA	561	SUB1								
UT7_3_187_R1_peak_31455	chr6	30615181	30617338	+	902	NA	exon (PPP1R10, exon 2 of 21)	NA	-1239	MRPS18B								
UT7_3_187_R1_peak_31740	chr6	36196195	36197286	+	902	NA	promoter-TSS (BRPF3)	NA	-235	LOC102723648								
UT7_3_187_R1_peak_19710	chr19	55408396	55409091	+	900	NA	promoter-TSS (UBE2S)	NA	-786	UBE2S								
UT7_3_187_R1_peak_13925	chr16	30609473	30610387	+	898	NA	promoter-TSS (ZNF689)	NA	845	ZNF689								
UT7_3_187_R1_peak_13933	chr16	30698101	30699959	+	896	NA	promoter-TSS (LOC730183)	NA	-111	SRCAP								
UT7_3_187_R1_peak_35623	chr8	99012482	99014006	+	896	NA	promoter-TSS (VPS13B)	NA	-22	VPS13B								
UT7_3_187_R1_peak_33014	chr6	151390660	151392362	+	896	NA	promoter-TSS (ZBTB2)	NA	-517	ZBTB2								
UT7_3_187_R1_peak_10619	chr14	39266299	39267868	+	896	NA	promoter-TSS (LOC100288846)	NA	-22	LOC100288846								
UT7_3_187_R1_peak_19873	chr19	58557270	58559699	+	894	NA	promoter-TSS (AC016629.8)	NA	492	UBE2M								
UT7_3_187_R1_peak_1394	chr1	46301318	46304731	+	892	NA	promoter-TSS (LRRC41)	NA	10	LRRC41								
UT7_3_187_R1_peak_11976	chr15	48330421	48332758	+	892	NA	promoter-TSS (DUT)	NA	165	DUT								
UT7_3_187_R1_peak_33335	chr7	2555273	2555840	+	891	NA	promoter-TSS (BRAT1)	NA	150	BRAT1								
UT7_3_187_R1_peak_38095	chrX	24148958	24150268	+	891	NA	promoter-TSS (ZFX)	NA	41	ZFX-AS1								
UT7_3_187_R1_peak_10387	chr14	21103683	21104629	+	891	NA	promoter-TSS (ZNF219)	NA	5219	TMEM253								
UT7_3_187_R1_peak_1950	chr1	91020976	91022796	+	891	NA	promoter-TSS (LOC102723410)	NA	-78	LOC102723410								
UT7_3_187_R1_peak_13311	chr16	2751383	2753975	+	891	NA	promoter-TSS (SRRM2-AS1)	NA	350	SRRM2								
UT7_3_187_R1_peak_11379	chr14	96500916	96503018	+	891	NA	promoter-TSS (PAPOLA)	NA	-413	PAPOLA								
UT7_3_187_R1_peak_18681	chr19	36488810	36490382	+	891	NA	promoter-TSS (ZNF566)	NA	-31	LOC728752								
UT7_3_187_R1_peak_16522	chr17	76735976	76737382	+	891	NA	promoter-TSS (MIR636)	NA	-191	MIR636								
UT7_3_187_R1_peak_3528	chr1	204410148	204411896	+	890	NA	exon (PPP1R15B, exon 1 of 2)	NA	794	PPP1R15B								
UT7_3_187_R1_peak_20416	chr2	61176571	61178423	+	890	NA	promoter-TSS (AHSA2)	NA	-977	AHSA2								
UT7_3_187_R1_peak_1376	chr1	45686670	45687200	+	890	NA	promoter-TSS (GPBP1L1)	NA	-305	GPBP1L1								
UT7_3_187_R1_peak_26234	chr3	49021590	49022788	+	890	NA	exon (NDUFAF3, exon 1 of 5)	NA	548	NDUFAF3								
UT7_3_187_R1_peak_19836	chr19	58278892	58279836	+	890	NA	intron (ZNF8, intron 1 of 3)	NA	412	ZNF8								
UT7_3_187_R1_peak_31875	chr6	41073004	41075410	+	888	NA	intron (NFYA, intron 1 of 9)	NA	1239	NFYA								
UT7_3_187_R1_peak_37412	chr9	124861082	124861958	+	888	NA	promoter-TSS (ARPC5L)	NA	441	RPL35								
UT7_3_187_R1_peak_2410	chr1	149636439	149636842	+	886	NA	intron (LOC102723863, intron 1 of 1)	NA	9884	TRNAN22-2								
UT7_3_187_R1_peak_35342	chr8	58658523	58660524	+	882	NA	promoter-TSS (NSMAF)	NA	322	NSMAF								
UT7_3_187_R1_peak_17808	chr19	9818039	9819088	+	880	NA	exon (FBXL12, exon 2 of 4)	NA	492	FBXL12								
UT7_3_187_R1_peak_17732	chr19	7636726	7638546	+	879	NA	promoter-TSS (PCP2)	NA	531	STXBP2								
UT7_3_187_R1_peak_23132	chr20	35663720	35665415	+	878	NA	intron (RBM12, intron 1 of 2)	NA	389	CPNE1								
UT7_3_187_R1_peak_16738	chr17	82272453	82274135	+	878	NA	intron (CSNK1D, intron 1 of 9)	NA	424	CSNK1D								
UT7_3_187_R1_peak_35531	chr8	90645034	90647126	+	877	NA	promoter-TSS (TMEM64)	NA	-175	TMEM64								
UT7_3_187_R1_peak_12853	chr15	88466648	88468362	+	876	NA	promoter-TSS (MRPS11)	NA	52	MRPS11								
UT7_3_187_R1_peak_12374	chr15	66503784	66505815	+	876	NA	promoter-TSS (ZWILCH)	NA	56	RPL4								
UT7_3_187_R1_peak_36917	chr9	83980753	83981794	+	876	NA	promoter-TSS (HNRNPK)	NA	497	RMI1								
UT7_3_187_R1_peak_31879	chr6	41199020	41202219	+	875	NA	intron (TREML2, intron 1 of 4)	NA	568	TREML2								
UT7_3_187_R1_peak_10675	chr14	50230372	50232415	+	874	NA	promoter-TSS (SOS2)	NA	-453	SOS2								
UT7_3_187_R1_peak_32211	chr6	73461701	73462481	+	874	NA	exon (MTO1, exon 1 of 12)	NA	360	MTO1								
UT7_3_187_R1_peak_31779	chr6	36873737	36875247	+	874	NA	intron (C6orf89, intron 1 of 9)	NA	532	PPIL1								
UT7_3_187_R1_peak_29972	chr5	138352569	138353976	+	874	NA	intron (KDM3B, intron 1 of 23)	NA	676	KDM3B								
UT7_3_187_R1_peak_34399	chr7	128530606	128532556	+	874	NA	promoter-TSS (LOC101928451)	NA	-612	LOC101928451								
UT7_3_187_R1_peak_23074	chr20	33993591	33995330	+	874	NA	promoter-TSS (RP5-1125A11.1)	NA	-93	RP5-1125A11.1								
UT7_3_187_R1_peak_33160	chr6	159726248	159728287	+	873	NA	promoter-TSS (WTAP)	NA	269	WTAP								
UT7_3_187_R1_peak_21148	chr2	113890006	113891583	+	873	NA	intron (ACTR3, intron 1 of 11)	NA	198	AC104653.1								
UT7_3_187_R1_peak_23247	chr20	38434199	38435356	+	873	NA	promoter-TSS (SNORA71D)	NA	598	SNHG17								
UT7_3_187_R1_peak_38256	chrX	53682646	53684227	+	873	NA	intron (HUWE1, intron 2 of 83)	NA	3293	HUWE1								
UT7_3_187_R1_peak_2405	chr1	148334684	148335148	+	868	NA	promoter-TSS (MIR5087)	NA	-372	MIR5087								
UT7_3_187_R1_peak_25174	chr22	39520222	39521775	+	868	NA	exon (ATF4, exon 1 of 2)	NA	434	ATF4								
UT7_3_187_R1_peak_1504	chr1	53196772	53197957	+	866	NA	intron (CPT2, intron 1 of 4)	NA	603	CPT2								
UT7_3_187_R1_peak_18693	chr19	36771692	36773617	+	866	NA	intron (ZNF850, intron 1 of 3)	NA	161	ZNF850								
UT7_3_187_R1_peak_37321	chr9	120875708	120878130	+	866	NA	intron (PHF19, intron 1 of 14)	NA	-7055	PHF19								
UT7_3_187_R1_peak_24146	chr21	36965653	36966757	+	866	NA	intron (HLCS, intron 1 of 10)	NA	451	HLCS								
UT7_3_187_R1_peak_17832	chr19	10332483	10333580	+	866	NA	TTS (ICAM3)	NA	607	RAVER1								
UT7_3_187_R1_peak_1615	chr1	58545674	58546774	+	865	NA	intron (OMA1, intron 1 of 8)	NA	550	OMA1								
UT7_3_187_R1_peak_31719	chr6	35468371	35470080	+	864	NA	intron (RPL10A, intron 3 of 5)	NA	824	RPL10A								
UT7_3_187_R1_peak_23206	chr20	37527274	37528702	+	864	NA	promoter-TSS (BLCAP)	NA	-57	BLCAP								
UT7_3_187_R1_peak_15531	chr17	39461399	39463513	+	864	NA	exon (CDK12, exon 1 of 21)	NA	970	CDK12								
UT7_3_187_R1_peak_19030	chr19	43596312	43596946	+	864	NA	promoter-TSS (IRGQ)	NA	237	ZNF576								
UT7_3_187_R1_peak_2483	chr1	150973769	150975617	+	863	NA	promoter-TSS (CERS2)	NA	-258	CERS2								
UT7_3_187_R1_peak_20699	chr2	74120022	74120668	+	863	NA	Intergenic	NA	27567	BOLA3								
UT7_3_187_R1_peak_12076	chr15	52018771	52021286	+	863	NA	exon (MAPK6, exon 1 of 6)	NA	797	MAPK6								
UT7_3_187_R1_peak_10732	chr14	55051031	55052627	+	863	NA	intron (MAPK1IP1L, intron 1 of 3)	NA	185	MAPK1IP1L								
UT7_3_187_R1_peak_18306	chr19	17511559	17512196	+	861	NA	exon (PGLS, exon 1 of 5)	NA	254	PGLS								
UT7_3_187_R1_peak_9477	chr12	120291844	120292578	+	861	NA	promoter-TSS (SIRT4)	NA	-308	RNU4-2								
UT7_3_187_R1_peak_5808	chr11	841930	843945	+	861	NA	promoter-TSS (TSPAN4)	NA	-408	POLR2L								
UT7_3_187_R1_peak_6706	chr11	65416933	65425521	+	859	NA	Intergenic	NA	-1571	NEAT1								
UT7_3_187_R1_peak_29082	chr5	10352569	10355051	+	859	NA	exon (MARCH6, exon 1 of 26)	NA	171	MARCH6								
UT7_3_187_R1_peak_11433	chr14	100375605	100376363	+	859	NA	promoter-TSS (WDR25)	NA	-449	WDR25								
UT7_3_187_R1_peak_22035	chr2	206084397	206086542	+	857	NA	intron (INO80D, intron 1 of 10)	NA	713	INO80D								
UT7_3_187_R1_peak_14199	chr16	67562452	67563913	+	857	NA	intron (CTCF, intron 1 of 11)	NA	775	CTCF								
UT7_3_187_R1_peak_21428	chr2	151289214	151290869	+	857	NA	promoter-TSS (NMI)	NA	-125	NMI								
UT7_3_187_R1_peak_21884	chr2	197434462	197436487	+	857	NA	promoter-TSS (SF3B1)	NA	-447	SF3B1								
UT7_3_187_R1_peak_895	chr1	28736910	28738184	+	856	NA	intron (YTHDF2, intron 1 of 3)	NA	926	YTHDF2								
UT7_3_187_R1_peak_31615	chr6	33271136	33271935	+	856	NA	promoter-TSS (RPS18)	NA	430	VPS52								
UT7_3_187_R1_peak_16986	chr18	12702213	12703962	+	856	NA	promoter-TSS (PSMG2)	NA	99	PSMG2								
UT7_3_187_R1_peak_33071	chr6	156776641	156780332	+	856	NA	exon (ARID1B, exon 1 of 22)	NA	640	ARID1B								
UT7_3_187_R1_peak_2374	chr1	146038210	146039355	+	855	NA	promoter-TSS (TRNAK20)	NA	-619	TRNAK20								
UT7_3_187_R1_peak_32933	chr6	146913802	146915438	+	855	NA	intron (STXBP5-AS1, intron 7 of 10)	NA	-110796	KATNBL1P6								
UT7_3_187_R1_peak_19833	chr19	58182995	58184198	+	854	NA	intron (ZNF274, intron 1 of 4)	NA	607	ZNF274								
UT7_3_187_R1_peak_17891	chr19	10927576	10928695	+	853	NA	promoter-TSS (C19orf52)	NA	532	YIPF2								
UT7_3_187_R1_peak_1200	chr1	40039373	40040551	+	851	NA	promoter-TSS (CAP1)	NA	-621	CAP1								
UT7_3_187_R1_peak_22494	chr2	239401287	239402496	+	849	NA	promoter-TSS (HDAC4)	NA	152	LOC101928111								
UT7_3_187_R1_peak_15516	chr17	39200030	39201209	+	849	NA	exon (RPL19, exon 1 of 6)	NA	336	RPL19								
UT7_3_187_R1_peak_24324	chr21	44011576	44013406	+	849	NA	exon (TRAPPC10, exon 1 of 22)	NA	130	TRAPPC10								
UT7_3_187_R1_peak_17648	chr19	5690245	5691698	+	846	NA	TTS (LONP1)	NA	636	RPL36								
UT7_3_187_R1_peak_19789	chr19	57279484	57281322	+	845	NA	promoter-TSS (ZNF460)	NA	995	ZNF460								
UT7_3_187_R1_peak_23874	chr21	17818852	17820012	+	845	NA	promoter-TSS (C21orf91)	NA	-46	C21orf91								
UT7_3_187_R1_peak_8412	chr12	45726526	45727583	+	845	NA	exon (LINC00938, exon 1 of 1)	NA	867	LINC00938								
UT7_3_187_R1_peak_23295	chr20	41028746	41030023	+	845	NA	intron (TOP1, intron 1 of 20)	NA	562	TOP1								
UT7_3_187_R1_peak_18813	chr19	38850701	38852910	+	845	NA	intron (HNRNPL, intron 1 of 12)	NA	-1828	HNRNPL								
UT7_3_187_R1_peak_15851	chr17	47188114	47189334	+	845	NA	promoter-TSS (MYL4)	NA	575	CDC27								
UT7_3_187_R1_peak_25016	chr22	37018539	37020366	+	844	NA	promoter-TSS (MPST)	NA	-298	MPST								
UT7_3_187_R1_peak_30348	chr5	171387830	171388938	+	844	NA	intron (NPM1, intron 1 of 9)	NA	680	NPM1								
UT7_3_187_R1_peak_20523	chr2	65227186	65229013	+	844	NA	intron (ACTR2, intron 1 of 9)	NA	404	ACTR2								
UT7_3_187_R1_peak_711	chr1	26126624	26128458	+	844	NA	Intergenic	NA	16324	PDIK1L								
UT7_3_187_R1_peak_30540	chr5	179622328	179623706	+	843	NA	intron (HNRNPH1, intron 2 of 12)	NA	693	HNRNPH1								
UT7_3_187_R1_peak_2627	chr1	154936616	154937339	+	843	NA	promoter-TSS (PMVK)	NA	31	PMVK								
UT7_3_187_R1_peak_3164	chr1	179954692	179955657	+	843	NA	intron (CEP350, intron 1 of 38)	NA	356	CEP350								
UT7_3_187_R1_peak_11930	chr15	43792300	43793580	+	843	NA	TTS (MIR1282)	NA	819	MIR1282								
UT7_3_187_R1_peak_29073	chr5	10248666	10251941	+	843	NA	promoter-TSS (FAM173B)	NA	133	CCT5								
UT7_3_187_R1_peak_4277	chr10	1055799	1057040	+	840	NA	promoter-TSS (WDR37)	NA	-417	WDR37								
UT7_3_187_R1_peak_14601	chr16	88333513	88334773	+	840	NA	Intergenic	NA	-93328	ZNF469								
UT7_3_187_R1_peak_35966	chr8	129688534	129693995	+	840	NA	Intergenic	NA	95624	GSDMC								
UT7_3_187_R1_peak_7715	chr11	130001357	130003005	+	840	NA	promoter-TSS (LINC00167)	NA	-443	LINC00167								
UT7_3_187_R1_peak_29890	chr5	134176133	134177549	+	840	NA	intron (SKP1, intron 1 of 4)	NA	192	SKP1								
UT7_3_187_R1_peak_6721	chr11	65497733	65499004	+	835	NA	exon (MALAT1, exon 1 of 1)	NA	606	MALAT1								
UT7_3_187_R1_peak_21327	chr2	134917706	134920011	+	835	NA	promoter-TSS (CCNT2-AS1)	NA	36	CCNT2								
UT7_3_187_R1_peak_32460	chr6	110957953	110959321	+	833	NA	promoter-TSS (GTF3C6)	NA	77	GTF3C6								
UT7_3_187_R1_peak_13676	chr16	22297404	22298343	+	832	NA	TTS (TRNAL27)	NA	498	POLR3E								
UT7_3_187_R1_peak_17614	chr19	4791512	4792799	+	830	NA	exon (FEM1A, exon 1 of 1)	NA	439	FEM1A								
UT7_3_187_R1_peak_21702	chr2	180006410	180007435	+	830	NA	exon (CWC22, exon 1 of 20)	NA	375	CWC22								
