PeakID (cmd=annotatePeaks.pl LMO2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_4677	chr12	31746836	31747103	+	0	NA	Intergenic	NA	-17795	AMN1								
Interval_16774	chr4	98995301	98995469	+	0	NA	promoter-TSS (METAP1)	NA	-252	METAP1								
Interval_5168	chr12	104288944	104289218	+	0	NA	intron (TXNRD1, intron 2 of 13)	NA	-14651	EID3								
Interval_16178	chr3	180912380	180913448	+	0	NA	intron (FXR1, intron 1 of 14)	NA	606	FXR1								
Interval_4867	chr12	54497601	54498532	+	0	NA	promoter-TSS (NCKAP1L)	NA	355	NCKAP1L								
Interval_16184	chr3	182979965	182980959	+	0	NA	promoter-TSS (DCUN1D1)	NA	-298	DCUN1D1								
Interval_15482	chr3	49342549	49342968	+	0	NA	Intergenic	NA	-2655	USP4								
Interval_5590	chr13	28139646	28141345	+	0	NA	intron (PAN3, intron 1 of 18)	NA	-1321	PAN3-AS1								
Interval_6241	chr14	75301877	75302102	+	0	NA	Intergenic	NA	7585	RP11-293M10.5								
Interval_12462	chr2	85706357	85706593	+	0	NA	Intergenic	NA	12184	GNLY								
Interval_21330	chr8	131816498	131816641	+	0	NA	Intergenic	NA	-87540	EFR3A								
Interval_19260	chr6	149863467	149863998	+	0	NA	exon (RAET1E-AS1, exon 1 of 2)	NA	616	LRP11								
Interval_20592	chr8	19898669	19898867	+	0	NA	Intergenic	NA	-40303	LPL								
Interval_19147	chr6	135185022	135185201	+	0	NA	intron (MYB, intron 1 of 13)	NA	3796	MYB								
Interval_2832	chr10	89701632	89701838	+	0	NA	intron (KIF20B, intron 1 of 32)	NA	145	KIF20B								
Interval_20568	chr8	11802682	11803307	+	0	NA	promoter-TSS (FDFT1)	NA	-5423	FDFT1								
Interval_14294	chr21	34534777	34535178	+	0	NA	intron (RCAN1, intron 1 of 3)	NA	-23638	KCNE1								
Interval_2143	chr1	235160810	235161795	+	0	NA	promoter-TSS (RBM34)	NA	-46	RBM34								
Interval_18578	chr6	31575524	31576123	+	0	NA	exon (TNF, exon 1 of 4)	NA	256	TNF								
Interval_16684	chr4	77127395	77127582	+	0	NA	Intergenic	NA	28189	LOC101928864								
Interval_7059	chr15	74872731	74872923	+	0	NA	intron (SCAMP2, intron 1 of 9)	NA	538	SCAMP2								
Interval_11705	chr19	55653832	55655847	+	0	NA	exon (U2AF2, exon 1 of 12)	NA	789	U2AF2								
Interval_15883	chr3	127672095	127672752	+	0	NA	promoter-TSS (ABTB1)	NA	-685	ABTB1								
Interval_19189	chr6	139372690	139373189	+	0	NA	exon (CITED2, exon 2 of 2)	NA	1274	CITED2								
Interval_10276	chr19	2289063	2289304	+	0	NA	TTS (LINGO3)	NA	-7001	C19orf35								
Interval_18334	chr6	16684050	16684317	+	0	NA	intron (ATXN1, intron 3 of 8)	NA	77307	ATXN1								
Interval_22952	chrX	154490969	154491177	+	0	NA	promoter-TSS (SLC10A3)	NA	-797	SLC10A3								
Interval_18991	chr6	95576904	95577529	+	0	NA	promoter-TSS (MANEA)	NA	235	MANEA-AS1								
Interval_1380	chr1	154937356	154937716	+	0	NA	promoter-TSS (PMVK)	NA	-528	PMVK								
Interval_830	chr1	54861628	54861961	+	0	NA	intron (DHCR24, intron 6 of 8)	NA	25454	DHCR24								
Interval_20414	chr7	151058302	151058621	+	0	NA	promoter-TSS (CDK5)	NA	-496	CDK5								
Interval_5918	chr14	24094257	24095221	+	0	NA	promoter-TSS (NRL)	NA	601	PCK2								
Interval_5988	chr14	40218318	40218767	+	0	NA	Intergenic	NA	-736169	LOC644919								
Interval_4026	chr11	73189178	73189460	+	0	NA	Intergenic	NA	-11161	LOC102724472								
Interval_1056	chr1	107941377	107941806	+	0	NA	intron (VAV3, intron 1 of 19)	NA	-22852	VAV3-AS1								
Interval_3936	chr11	67507887	67508093	+	0	NA	exon (CDK2AP2, exon 1 of 4)	NA	197	CDK2AP2								
Interval_11032	chr19	35629054	35629639	+	0	NA	intron (RBM42, intron 1 of 9)	NA	255	RBM42								
Interval_17097	chr4	189787785	189788385	+	0	NA	promoter-TSS (LOC102723973)	NA	-514	LOC102723973								
Interval_18354	chr6	20534486	20534998	+	0	NA	promoter-TSS (CDKAL1)	NA	285	CDKAL1								
Interval_17900	chr5	150786995	150787728	+	0	NA	intron (SMIM3, intron 1 of 1)	NA	9415	SMIM3								
Interval_3507	chr11	35139689	35139868	+	0	NA	promoter-TSS (RP4-607I7.1)	NA	635	CD44								
Interval_16764	chr4	95543714	95543894	+	0	NA	intron (UNC5C, intron 1 of 16)	NA	5406	UNC5C								
Interval_961	chr1	87328107	87328286	+	0	NA	promoter-TSS (LMO4)	NA	-272	LMO4								
Interval_11421	chr19	47244569	47245004	+	0	NA	Intergenic	NA	-11737	CCDC9								
Interval_5622	chr13	31638120	31638561	+	0	NA	Intergenic	NA	-101202	RXFP2								
Interval_2522	chr10	47166025	47166721	+	0	NA	Intergenic	NA	-44587	LOC101929216								
Interval_20725	chr8	33484571	33485776	+	0	NA	promoter-TSS (MAK16)	NA	6	MAK16								
Interval_16738	chr4	85475316	85475459	+	0	NA	exon (ARHGAP24, exon 1 of 10)	NA	256	ARHGAP24								
Interval_4454	chr12	6430496	6430675	+	0	NA	Intergenic	NA	-14300	CD27								
Interval_14374	chr21	39380426	39380781	+	0	NA	promoter-TSS (WRB)	NA	-7163	WRB								
Interval_14353	chr21	38805951	38807201	+	0	NA	exon (ETS2, exon 1 of 10)	NA	130	ETS2								
Interval_21565	chr9	11780008	11780218	+	0	NA	Intergenic	NA	54597	LOC101929446								
Interval_8751	chr17	28743569	28743808	+	0	NA	promoter-TSS (TRAF4)	NA	-317	TRAF4								
Interval_22514	chrX	13689143	13689735	+	0	NA	intron (RAB9A, intron 1 of 1)	NA	318	RAB9A								
Interval_3597	chr11	47578420	47578667	+	0	NA	promoter-TSS (NDUFS3)	NA	427	KBTBD4								
Interval_8899	chr17	38751960	38752400	+	0	NA	promoter-TSS (PSMB3)	NA	-326	TRNAN17								
Interval_15595	chr3	52704877	52706037	+	0	NA	promoter-TSS (SPCS1)	NA	-384	SPCS1								
Interval_15353	chr3	45594249	45594452	+	0	NA	promoter-TSS (LIMD1)	NA	-24120	LIMD1								
Interval_7052	chr15	74788085	74788328	+	0	NA	TTS (MIR4513)	NA	538	MIR4513								
Interval_9540	chr17	78412666	78413315	+	0	NA	intron (PGS1, intron 7 of 8)	NA	34366	PGS1								
Interval_10437	chr19	6481960	6482267	+	0	NA	promoter-TSS (DENND1C)	NA	-326	DENND1C								
Interval_9393	chr17	73482231	73482568	+	0	NA	intron (SDK2, intron 2 of 44)	NA	-31286	LOC101928251								
Interval_5711	chr13	49443732	49444003	+	0	NA	promoter-TSS (SETDB2)	NA	-299	SETDB2								
Interval_1904	chr1	212794315	212794822	+	0	NA	intron (TATDN3, intron 1 of 8)	NA	2740	TATDN3								
Interval_7232	chr15	90481126	90481329	+	0	NA	intron (IQGAP1, intron 26 of 37)	NA	-48659	CRTC3								
Interval_16337	chr3	196867983	196868610	+	0	NA	intron (SENP5, intron 1 of 8)	NA	302	SENP5								
Interval_12817	chr2	148614555	148614955	+	0	NA	Intergenic	NA	-30236	EPC2								
Interval_12839	chr2	156341521	156343017	+	0	NA	Intergenic	NA	-9554	NR4A2								
Interval_18326	chr6	15595501	15595762	+	0	NA	intron (DTNBP1, intron 6 of 9)	NA	67289	DTNBP1								
Interval_6490	chr14	104689776	104690344	+	0	NA	intron (INF2, intron 1 of 22)	NA	454	INF2								
Interval_11507	chr19	49677126	49677718	+	0	NA	intron (PRMT1, intron 1 of 7)	NA	155	PRMT1								
Interval_16616	chr4	55545854	55546760	+	0	NA	promoter-TSS (CLOCK)	NA	315	CLOCK								
Interval_22113	chr9	124290394	124290620	+	0	NA	intron (NEK6, intron 1 of 9)	NA	4119	NEK6								
Interval_9403	chr17	74514088	74514292	+	0	NA	Intergenic	NA	17284	CD300LB								
Interval_10641	chr19	12737173	12738007	+	0	NA	promoter-TSS (ASNA1)	NA	98	ASNA1								
Interval_13724	chr20	31739362	31739881	+	0	NA	exon (TPX2, exon 1 of 18)	NA	520	TPX2								
Interval_1732	chr1	197902301	197902869	+	0	NA	promoter-TSS (C1orf53)	NA	33	C1orf53								
Interval_3652	chr11	59669370	59669626	+	0	NA	promoter-TSS (PATL1)	NA	-460	PATL1								
Interval_12236	chr2	61017219	61017589	+	0	NA	promoter-TSS (PUS10)	NA	27	PUS10								
Interval_7231	chr15	90400456	90400974	+	0	NA	intron (IQGAP1, intron 2 of 37)	NA	12443	IQGAP1								
Interval_1125	chr1	113812691	113813064	+	0	NA	promoter-TSS (RSBN1)	NA	-429	RSBN1								
Interval_10740	chr19	15331200	15332563	+	0	NA	Intergenic	NA	28466	LOC101928874								
Interval_18032	chr5	176388982	176389785	+	0	NA	promoter-TSS (NOP16)	NA	600	HIGD2A								
Interval_11394	chr19	46600396	46601242	+	0	NA	promoter-TSS (CALM3)	NA	381	PPP5D1								
Interval_22509	chrX	13088173	13088365	+	0	NA	Intergenic	NA	-43471	FAM9C								
Interval_15234	chr3	28346679	28346932	+	0	NA	intron (AZI2, intron 1 of 8)	NA	-2143	ZCWPW2								
Interval_1535	chr1	161314173	161314996	+	0	NA	intron (SDHC, intron 1 of 3)	NA	208	SDHC								
Interval_21228	chr8	123273609	123274613	+	0	NA	intron (ZHX1, intron 1 of 3)	NA	376	ZHX1								
Interval_5673	chr13	44141620	44141877	+	0	NA	promoter-TSS (SMIM2-AS1)	NA	16474	SMIM2-IT1								
Interval_13952	chr20	47415166	47415632	+	0	NA	Intergenic	NA	-8599	LOC102723442								
Interval_17199	chr5	32312391	32313201	+	0	NA	exon (MTMR12, exon 1 of 17)	NA	192	MTMR12								
Interval_14896	chr22	44172636	44173319	+	0	NA	promoter-TSS (PARVG)	NA	-7913	PARVG								
Interval_5560	chr13	22992771	22993058	+	0	NA	Intergenic	NA	-94733	BASP1P1								
Interval_19809	chr7	46320107	46320650	+	0	NA	Intergenic	NA	340447	LOC102723446								
Interval_20282	chr7	129224262	129224975	+	0	NA	promoter-TSS (AHCYL2)	NA	-396	AHCYL2								
Interval_21286	chr8	129420759	129421335	+	0	NA	Intergenic	NA	63095	MIR3686								
Interval_15914	chr3	129181877	129182224	+	0	NA	intron (CNBP, intron 1 of 4)	NA	1917	CNBP								
Interval_6410	chr14	96363374	96363542	+	0	NA	promoter-TSS (GSKIP)	NA	6	GSKIP								
Interval_9638	chr17	81835789	81836904	+	0	NA	Intergenic	NA	-1296	PPP1R27								
Interval_22127	chr9	124940442	124941721	+	0	NA	promoter-TSS (GOLGA1)	NA	-109	GOLGA1								
Interval_5211	chr12	108635608	108635872	+	0	NA	promoter-TSS (MIR4496)	NA	-70	MIR4496								
Interval_8977	chr17	42561752	42561945	+	0	NA	promoter-TSS (COASY)	NA	-282	COASY								
Interval_22633	chrX	47659232	47659496	+	0	NA	promoter-TSS (UXT)	NA	-184	UXT								
Interval_11196	chr19	41298724	41299050	+	0	NA	intron (HNRNPUL1, intron 10 of 14)	NA	-11582	CCDC97								
Interval_11134	chr19	39430938	39431510	+	0	NA	Intergenic	NA	4754	RPS16								
Interval_11463	chr19	48661003	48661262	+	0	NA	TTS (NTN5)	NA	10390	NTN5								
Interval_19938	chr7	74272093	74272886	+	0	NA	Intergenic	NA	-16986	CLIP2								
Interval_10728	chr19	14775887	14776783	+	0	NA	intron (EMR2, intron 2 of 20)	NA	2206	EMR2								
Interval_16912	chr4	139607198	139607409	+	0	NA	Intergenic	NA	15929	LOC101927490								
Interval_7801	chr16	30526185	30526469	+	0	NA	exon (ZNF768, exon 1 of 2)	NA	262	ZNF768								
Interval_22368	chr9	136545611	136545871	+	0	NA	promoter-TSS (NOTCH1)	NA	45	NOTCH1								
Interval_2173	chr1	241531549	241531729	+	0	NA	promoter-TSS (KMO)	NA	-495	KMO								
Interval_7947	chr16	55479223	55479567	+	0	NA	exon (MMP2, exon 1 of 13)	NA	-2167	MMP2								
Interval_3374	chr11	10858371	10859074	+	0	NA	promoter-TSS (ZBED5)	NA	505	ZBED5-AS1								
Interval_22280	chr9	131598043	131598880	+	0	NA	intron (RAPGEF1, intron 15 of 26)	NA	43472	LOC102723804								
Interval_17360	chr5	56815529	56816849	+	0	NA	promoter-TSS (MAP3K1)	NA	-872	MAP3K1								
Interval_13114	chr2	202635081	202635541	+	0	NA	exon (FAM117B, exon 1 of 8)	NA	133	FAM117B								
Interval_3951	chr11	68120227	68120560	+	0	NA	intron (CHKA, intron 1 of 11)	NA	-36635	CHKA								
Interval_5281	chr12	112979242	112979421	+	0	NA	intron (OAS2, intron 1 of 9)	NA	862	OAS2								
Interval_21693	chr9	35919912	35920272	+	0	NA	Intergenic	NA	10609	LINC00961								
Interval_5264	chr12	111705826	111706037	+	0	NA	exon (ACAD10, exon 4 of 22)	NA	19878	ACAD10								
Interval_16929	chr4	140790950	140791154	+	0	NA	Intergenic	NA	-34735	TBC1D9								
Interval_19023	chr6	106325961	106326140	+	0	NA	promoter-TSS (ATG5)	NA	-230	ATG5								
Interval_19682	chr7	36263841	36264065	+	0	NA	intron (EEPD1, intron 3 of 7)	NA	92322	KIAA0895								
Interval_8291	chr16	88802214	88802546	+	0	NA	Intergenic	NA	-1398	CDT1								
Interval_17096	chr4	189786871	189787553	+	0	NA	intron (LOC102723973, intron 1 of 2)	NA	359	LOC102723973								
Interval_17025	chr4	174283290	174284347	+	0	NA	promoter-TSS (CEP44)	NA	141	CEP44								
Interval_13927	chr20	45885389	45885601	+	0	NA	TTS (ZSWIM1)	NA	3080	SPATA25								
Interval_11612	chr19	52923103	52923703	+	0	NA	promoter-TSS (ZNF888)	NA	-4559	ZNF888								
Interval_10225	chr19	1812435	1812742	+	0	NA	promoter-TSS (ATP8B3)	NA	-312	ATP8B3								
Interval_21097	chr8	100720045	100720366	+	0	NA	intron (PABPC1, intron 1 of 14)	NA	2277	PABPC1								
Interval_13858	chr20	38143954	38144133	+	0	NA	intron (TGM2, intron 6 of 9)	NA	21255	TGM2								
Interval_9536	chr17	78381440	78381622	+	0	NA	intron (PGS1, intron 1 of 8)	NA	2907	PGS1								
Interval_4383	chr11	130124262	130124405	+	0	NA	intron (APLP2, intron 7 of 17)	NA	-35454	ST14								
Interval_15401	chr3	46396522	46396774	+	0	NA	intron (LOC102724297, intron 1 of 2)	NA	10392	LOC102724297								
Interval_2553	chr10	62456625	62456911	+	0	NA	intron (ZNF365, intron 3 of 4)	NA	-81641	LOC283045								
Interval_6848	chr15	56918121	56920116	+	0	NA	promoter-TSS (LOC145783)	NA	483	TCF12								
Interval_6392	chr14	94080153	94080422	+	0	NA	intron (DDX24, intron 1 of 8)	NA	925	DDX24								
Interval_6715	chr15	43824399	43824663	+	0	NA	exon (MFAP1, exon 1 of 9)	NA	222	MFAP1								
Interval_15008	chr22_KI270733v1_random	128426	128669	+	0	NA	Intergenic	NA	31554	LOC102724621								
Interval_17397	chr5	66144240	66145227	+	0	NA	promoter-TSS (SREK1)	NA	412	SREK1								
Interval_6707	chr15	43440866	43441107	+	0	NA	intron (TP53BP1, intron 1 of 13)	NA	69523	TP53BP1								
Interval_1341	chr1	153670374	153670999	+	0	NA	promoter-TSS (TRNAM3)	NA	342	ILF2								
Interval_19785	chr7	44847368	44848075	+	0	NA	intron (H2AFV, intron 1 of 4)	NA	405	H2AFV								
Interval_12228	chr2	60460560	60462460	+	0	NA	exon (BCL11A, exon 4 of 4)	NA	-59393	LOC102724142								
Interval_14120	chr20	62602863	62603103	+	0	NA	Intergenic	NA	38050	MIR133A2								
Interval_11720	chr19	57191494	57191947	+	0	NA	promoter-TSS (ZNF264)	NA	240	ZNF264								
Interval_3648	chr11	59566260	59566492	+	0	NA	promoter-TSS (TRNAF1)	NA	76	TRNAF1								
Interval_17049	chr4	182916675	182918396	+	0	NA	promoter-TSS (DCTD)	NA	-273	DCTD								
Interval_4516	chr12	8058884	8059125	+	0	NA	exon (C3AR1, exon 2 of 2)	NA	7355	C3AR1								
Interval_2757	chr10	79243076	79243905	+	0	NA	intron (ZMIZ1, intron 7 of 24)	NA	-103976	PPIF								
Interval_1636	chr1	178119744	178119957	+	0	NA	intron (RASAL2, intron 1 of 17)	NA	-25857	RASAL2-AS1								
Interval_9862	chr18	32049109	32049434	+	0	NA	intron (RNF125, intron 4 of 5)	NA	30789	RNF125								
Interval_16953	chr4	148030314	148030612	+	0	NA	intron (ARHGAP10, intron 19 of 22)	NA	-190307	LOC102724672								
Interval_3766	chr11	64268569	64268829	+	0	NA	exon (PLCB3, exon 32 of 32)	NA	16005	BAD								
Interval_8318	chr16	89490918	89491443	+	0	NA	promoter-TSS (ANKRD11)	NA	13896	LOC101927863								
Interval_17830	chr5	142802866	142803190	+	0	NA	intron (ARHGAP26, intron 1 of 17)	NA	-58403	ARHGAP26								
Interval_1294	chr1	151057964	151059630	+	0	NA	promoter-TSS (MLLT11)	NA	852	CDC42SE1								
Interval_15150	chr3	14409283	14409601	+	0	NA	intron (SLC6A6, intron 1 of 13)	NA	6866	SLC6A6								
Interval_15238	chr3	30604372	30605084	+	0	NA	Intergenic	NA	-1774	TGFBR2								
Interval_3544	chr11	45847391	45847960	+	0	NA	exon (CRY2, exon 1 of 12)	NA	557	CRY2								
Interval_3253	chr11	805485	805670	+	0	NA	promoter-TSS (PIDD)	NA	291	PIDD								
Interval_10840	chr19	18127867	18128206	+	0	NA	intron (MAST3, intron 10 of 26)	NA	18407	MAST3								
Interval_15798	chr3	119498555	119499120	+	0	NA	exon (TIMMDC1, exon 1 of 7)	NA	316	TIMMDC1								
Interval_7655	chr16	21520260	21520561	+	0	NA	promoter-TSS (SLC7A5P2)	NA	34	SLC7A5P2								
Interval_707	chr1	43946625	43947529	+	0	NA	promoter-TSS (LOC101929609)	NA	271	IPO13								
Interval_12645	chr2	112541697	112542392	+	0	NA	promoter-TSS (POLR1B)	NA	129	POLR1B								
Interval_9560	chr17	78841022	78841485	+	0	NA	promoter-TSS (USP36)	NA	-366	USP36								
Interval_8922	chr17	39687959	39688332	+	0	NA	promoter-TSS (PGAP3)	NA	-88	PGAP3								
Interval_9881	chr18	35376769	35377374	+	0	NA	promoter-TSS (ZNF396)	NA	266	ZNF396								
Interval_15390	chr3	46353636	46353980	+	0	NA	promoter-TSS (CCR2)	NA	64	CCR2								
Interval_19166	chr6	137148441	137148629	+	0	NA	intron (IL22RA2, intron 4 of 5)	NA	25113	IL22RA2								
Interval_5735	chr13	52450197	52450588	+	0	NA	promoter-TSS (VPS36)	NA	286	VPS36								
Interval_9593	chr17	80263839	80264158	+	0	NA	intron (RNF213, intron 2 of 67)	NA	3154	RNF213								
Interval_2784	chr10	83990168	83990354	+	0	NA	Intergenic	NA	-149168	GHITM								
Interval_5826	chr13	114064356	114064847	+	0	NA	intron (RASA3, intron 2 of 25)	NA	67991	RASA3								
Interval_19930	chr7	74211812	74212146	+	0	NA	intron (LAT2, intron 1 of 12)	NA	2222	LAT2								
Interval_6702	chr15	43239961	43240148	+	0	NA	intron (TGM5, intron 7 of 12)	NA	-18929	EPB42								
Interval_15621	chr3	56323892	56324035	+	0	NA	intron (ERC2, intron 2 of 18)	NA	144394	ERC2								
Interval_13215	chr2	218672078	218672372	+	0	NA	promoter-TSS (STK36)	NA	-63	STK36								
Interval_6250	chr14	76151949	76152529	+	0	NA	intron (GPATCH2L, intron 1 of 9)	NA	354	GPATCH2L								
Interval_9187	chr17	57867877	57868480	+	0	NA	exon (CUEDC1, exon 8 of 11)	NA	-18106	MRPS23								
Interval_22830	chrX	119685021	119685452	+	0	NA	intron (SEPT6, intron 1 of 9)	NA	8134	SEPT6								
Interval_16196	chr3	183313748	183314013	+	0	NA	intron (MCF2L2, intron 7 of 29)	NA	48499	B3GNT5								
Interval_22405	chr9	137302458	137303092	+	0	NA	promoter-TSS (NRARP)	NA	-524	NRARP								
Interval_22760	chrX	78104297	78104691	+	0	NA	intron (PGK1, intron 1 of 10)	NA	325	PGK1								
Interval_7211	chr15	89825341	89825538	+	0	NA	Intergenic	NA	-10560	ANPEP								
Interval_22587	chrX	40097361	40097654	+	0	NA	promoter-TSS (BCOR)	NA	-41	BCOR								
Interval_6562	chr15	28724828	28727993	+	0	NA	Intergenic	NA	-11173	WHAMMP2								
Interval_19962	chr7	75842748	75842981	+	0	NA	Intergenic	NA	-29149	CCL24								
Interval_2617	chr10	69179310	69179680	+	0	NA	promoter-TSS (SUPV3L1)	NA	-742	SUPV3L1								
Interval_17643	chr5	132114714	132114898	+	0	NA	Intergenic	NA	41014	CSF2								
Interval_21827	chr9	92325994	92326298	+	0	NA	promoter-TSS (NOL8)	NA	-552	NOL8								
Interval_15334	chr3	44338140	44338349	+	0	NA	promoter-TSS (TCAIM)	NA	125	TCAIM								
Interval_4027	chr11	73203960	73204211	+	0	NA	intron (LOC102724472, intron 2 of 2)	NA	3605	LOC102724472								
Interval_15157	chr3	14947010	14947525	+	0	NA	promoter-TSS (NR2C2)	NA	238	FGD5-AS1								
Interval_16584	chr4	48067554	48067745	+	0	NA	exon (TXK, exon 15 of 15)	NA	50875	NIPAL1								
Interval_4768	chr12	49323364	49323552	+	0	NA	intron (TROAP, intron 1 of 3)	NA	270	TROAP								
Interval_2437	chr10	30995696	30996303	+	0	NA	intron (ZNF438, intron 1 of 8)	NA	35901	ZNF438								
Interval_22694	chrX	54530341	54530912	+	0	NA	intron (GNL3L, intron 1 of 15)	NA	415	GNL3L								
Interval_15905	chr3	128878633	128879422	+	0	NA	promoter-TSS (ACAD9)	NA	-593	ACAD9								
Interval_2083	chr1	232611128	232611457	+	0	NA	intron (SIPA1L2, intron 1 of 22)	NA	-49744	SIPA1L2								
Interval_9328	chr17	64836785	64837062	+	0	NA	intron (PLEKHM1P, intron 1 of 10)	NA	261	PLEKHM1P								
Interval_12906	chr2	161975523	161975901	+	0	NA	intron (SLC4A10, intron 24 of 26)	NA	98830	DPP4								
Interval_11958	chr2	27369808	27370301	+	0	NA	promoter-TSS (SNX17)	NA	403	EIF2B4								
Interval_9147	chr17	50547215	50547435	+	0	NA	intron (SPATA20, intron 1 of 15)	NA	236	SPATA20								
Interval_15530	chr3	50569552	50569996	+	0	NA	intron (HEMK1, intron 1 of 10)	NA	622	HEMK1								
Interval_801	chr1	53220794	53221019	+	0	NA	promoter-TSS (C1orf123)	NA	-289	C1orf123								
Interval_19866	chr7	64794400	64794917	+	0	NA	intron (ZNF138, intron 1 of 1)	NA	233	ZNF138								
Interval_7416	chr16	2206032	2207394	+	0	NA	intron (MLST8, intron 4 of 7)	NA	1499	MLST8								
Interval_18791	chr6	42452213	42453171	+	0	NA	promoter-TSS (TRERF1)	NA	-487	TRERF1								
Interval_9318	chr17	64386954	64387156	+	0	NA	intron (PECAM1, intron 2 of 15)	NA	4109	PECAM1								
Interval_15486	chr3	49352034	49353049	+	0	NA	Intergenic	NA	5817	GPX1								
Interval_9962	chr18	56488802	56489065	+	0	NA	Intergenic	NA	149659	TXNL1								
Interval_19568	chr7	11430449	11430880	+	0	NA	intron (THSD7A, intron 13 of 25)	NA	401533	THSD7A								
Interval_20591	chr8	19817453	19817978	+	0	NA	intron (INTS10, intron 1 of 17)	NA	284	INTS10								
Interval_17851	chr5	147404133	147404514	+	0	NA	intron (DPYSL3, intron 8 of 13)	NA	105733	DPYSL3								
Interval_11432	chr19	47608062	47608705	+	0	NA	promoter-TSS (GLTSCR1)	NA	-662	GLTSCR1								
Interval_14257	chr21	33198827	33199506	+	0	NA	Intergenic	NA	-28930	C21orf54								
Interval_2455	chr10	32378900	32379199	+	0	NA	promoter-TSS (EPC1)	NA	-251	EPC1								
Interval_12720	chr2	130182939	130183144	+	0	NA	promoter-TSS (SMPD4)	NA	832	MZT2B								
Interval_531	chr1	32649887	32652082	+	0	NA	promoter-TSS (RBBP4)	NA	16	ZBTB8OS								
Interval_19909	chr7	73521164	73522290	+	0	NA	intron (BAZ1B, intron 1 of 19)	NA	571	BAZ1B								
Interval_10283	chr19	2394586	2395340	+	0	NA	intron (TMPRSS9, intron 2 of 18)	NA	13456	TMPRSS9								
Interval_3806	chr11	65261347	65261707	+	0	NA	promoter-TSS (POLA2)	NA	-434	POLA2								
Interval_8152	chr16	75433169	75433518	+	0	NA	exon (CFDP1, exon 1 of 7)	NA	146	CFDP1								
Interval_18513	chr6	28977374	28977715	+	0	NA	Intergenic	NA	4200	TRNAF7								
Interval_17763	chr5	139659895	139660101	+	0	NA	intron (CXXC5, intron 1 of 2)	NA	11282	CXXC5								
Interval_703	chr1	43838133	43840580	+	0	NA	TTS (MIR6079)	NA	699	MIR6079								
Interval_21365	chr8	133919557	133919876	+	0	NA	Intergenic	NA	33220	RP11-157E21.1								
Interval_10358	chr19	4247695	4247942	+	0	NA	intron (CCDC94, intron 1 of 7)	NA	704	CCDC94								
Interval_3428	chr11	17077952	17078423	+	0	NA	promoter-TSS (RPS13)	NA	-514	RPS13								
Interval_14468	chr22	17084601	17085560	+	0	NA	exon (IL17RA, exon 1 of 13)	NA	121	IL17RA								
Interval_4419	chr12	1811880	1813095	+	0	NA	intron (CACNA2D4, intron 26 of 37)	NA	-7780	LRTM2								
